1.0,1.0e-12,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,5.683280910353889e-16,5.683726089875458e-16,5.772509665248907e-16,5.840377474693192e-16,5.683273584927456e-16,10000.0,5.683726089875458e-16
1.0,1.0e-12,0.0001,10000.0,10000.0,10000.0,10000.0,10000.0,5.681023569964321e-16,5.681468847817448e-16,5.770232213416951e-16,5.838041199962483e-16,5.681016207628087e-16,10000.0,5.681468847817448e-16
1.0,1.0e-12,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,5.472214512755823e-16,5.47266869550278e-16,5.559529863914317e-16,5.621956619603262e-16,5.472202899666494e-16,10000.0,5.47266869550278e-16
1.0,1.0e-12,0.1,10000.0,10000.0,10000.0,10000.0,10000.0,4.347731469185314e-16,4.34822503817518e-16,4.423409235701588e-16,4.459434825025681e-16,4.347672003582314e-16,10000.0,4.34822503817518e-16
1.0,1.0e-12,0.5,10000.0,10000.0,10000.0,10000.0,10000.0,2.9843592680263524e-16,2.984957598425526e-16,3.0407389985757507e-16,3.053886848337031e-16,2.984140092396068e-16,10000.0,2.984957598425526e-16
1.0,1.0e-12,1.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.4078161489528325e-16,2.408612987954249e-16,2.4542637244995357e-16,2.4611289908898807e-16,2.4075286889087477e-16,10000.0,2.408612987954249e-16
1.0,1.0e-8,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0067833376095263e-12,2.0070563385327694e-12,2.034954559855424e-12,2.064288666817483e-12,2.0067975722298534e-12,10000.0,2.0070563385327694e-12
1.0,1.0e-8,0.0001,10000.0,10000.0,10000.0,10000.0,10000.0,2.005755167777334e-12,2.0060282705842053e-12,2.033917227339425e-12,2.063225446552756e-12,2.005769380493789e-12,10000.0,2.0060282705842053e-12
1.0,1.0e-8,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,1.9087335707666133e-12,1.90901616761533e-12,1.9360233459726357e-12,1.962904037959338e-12,1.9087457661887193e-12,10000.0,1.90901616761533e-12
1.0,1.0e-8,0.1,10000.0,10000.0,10000.0,10000.0,10000.0,1.3227895880719938e-12,1.3231220596325644e-12,1.3443937684390108e-12,1.35744427691509e-12,1.3227917703557705e-12,10000.0,1.3231220596325644e-12
1.0,1.0e-8,0.5,10000.0,10000.0,10000.0,10000.0,10000.0,6.004219512210233e-13,6.00756401507451e-13,6.129248988402193e-13,6.129907593697848e-13,6.004166975579732e-13,10000.0,6.00756401507451e-13
